Item,Amount,Cost,Link
"Eggtimer Telemetry Module, Eggfinder LCD receiver, and Eggtimer Voice Module Bundle

",1,$90,"https://eggtimerrocketry.com/purchase/
"
"Bambu Labs PETG
",1,$12.99,"https://us.store.bambulab.com/products/petg-hf

"
